"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"TMEM63A",-1.351726959,0.092861419,-0.061589436,0.026642172,-0.258624102,0.280654158,-0.185550759,-0.41667245,-0.880788141,-0.435748928,-0.16023535,0.494983095,-0.31464762,-0.642091567,-0.112033054,-0.466131861,-0.99310274,-1.228032565,-1.172606314,-0.820527988,-1.037181173,-0.386708442
"SLBP",0.307252851,-0.152117661,0.315992042,-0.624365976,0.839779977,-0.143415341,0.033867468,0.869306792,0.086280818,-0.058805839,-1.149153536,0.249508216,-0.289104612,-0.13002144,-0.302485505,0.470651859,-0.733981847,2.222688082,1.85772098,-0.683510766,-0.502452292,-1.792495875
"SRRM2",-0.008405728,-0.078246656,0.354834616,0.727984185,0.857183535,-0.106703971,0.385136332,-0.066193486,-0.080536836,0.186419995,-0.677067666,0.135542676,-0.339049078,0.013701293,-0.140715541,0.028141432,-0.022316327,0.210207132,0.692575792,-0.65463098,-0.070503736,0.058285109
"ZFR",0.530138043,0.2454912,0.571333159,0.548929707,0.485001207,-0.082556092,0.192651602,0.177478643,-0.014743316,0.620917636,-0.618046486,0.495957017,-0.230024667,0.101300232,-0.379482715,0.132084253,-0.275423926,-0.218582762,0.838052001,-0.101107918,0.046697344,-0.181717859
"UPF1",0.386360052,0.219773803,-0.109057662,0.299030187,0.521109018,0.101574121,-0.186493358,0.538658098,0.405991869,0.028056043,-0.273237837,-0.180236339,-0.097003375,0.344313929,0.116359257,0.846279952,-0.188580435,0.202832381,0.771693983,-0.307347441,0.356601183,-0.178378395
"KIN",0.258652876,-0.086305581,0.360293807,1.062396101,0.992186007,0.188015694,0.284499149,-0.120397156,-0.579105669,0.180220666,-0.092212015,0.249061787,-0.273375387,0.574392049,0.681825978,-0.465913415,-0.417278664,0.597282697,0.736108922,0.286215513,0.062407912,-0.353076225
"SNRPC",0.024069205,0.027596565,0.749340751,-0.17065904,0.056190531,-0.185312562,0.285891238,0.128952173,-0.105956057,0.123804732,0.338137275,0.274629504,0.060926757,-0.98548178,0.529415867,-0.578930136,-0.552446273,-0.055470161,0.454969854,1.532925377,0.926892019,-0.65502816
"IREB2",0.371283524,-0.233718244,-0.42650921,-1.069177377,-0.122724406,1.075291894,0.241383841,-0.26396001,1.131498975,0.033238078,-0.007794627,-0.410990611,0.311653274,-0.508322837,0.876908251,0.479469313,-0.54706705,-0.705320509,0.94050015,-0.219821105,0.834965044,-0.244379125
"ACO1",0.073603533,-0.682060585,0.424010636,-1.210100278,-0.548867384,0.142656302,-0.410478886,0.348254551,-0.663027385,-0.526958482,-1.038101737,0.31725063,0.792075981,0.529864514,-0.522348404,0.05080905,1.179498948,-0.943719533,0.239857418,-0.242376771,-0.969476383,0.610191044
"TROVE2",0.461682412,-0.024650056,0.086631319,1.753449195,-0.299263545,-0.089390508,-0.181699818,-0.013230608,-0.522800674,0.628626768,-0.601531202,0.485594135,-0.090717809,-0.722402062,-0.965066093,-0.566356978,-0.314270061,0.211795828,0.457509075,-0.322503345,-0.591925932,0.124915706
"TEP1",-0.91188329,-0.855034414,-0.753340055,-0.862066374,-0.593454718,0.518192718,0.010838577,-0.442717364,-0.4028933,-0.255207208,0.553657808,-0.662565927,-0.036529985,0.256820031,-0.288862584,-0.323326015,0.097505282,0.219166022,-0.69964875,-0.134532322,0.017157004,0.197411344
"GAPDH",0.191963466,-0.177533266,0.691523518,0.684942273,1.32279268,0.9836563,0.130905573,0.702298407,0.217415387,-0.17860067,-0.157698171,-0.072234983,1.568655306,1.125301311,0.000414271,-0.015763907,-0.080499489,0.493190797,-0.023433331,-0.387518306,2.347538284,0.958304667
"ZRANB2",0.498138221,0.903049679,0.283018065,0.52481318,0.310775645,0.558710759,-0.040193725,0.149192748,0.239592841,0.978067644,-1.161349543,0.654235937,0.222379476,0.086359385,-0.772702821,-0.189881688,-0.117511286,0.433698359,0.365856887,0.257800011,0.267433748,-0.943993979
